CO, Alcohol, CO2, Toluene, NH4, Acetone
20.70, 5.06, 9.50, 2.34, 12.26, 1.93
22.51, 5.41, 10.09, 2.52, 12.93, 2.07
26.64, 6.20, 11.41, 2.92, 14.37, 2.39
30.50, 6.92, 12.59, 3.29, 15.65, 2.69
39.06, 8.45, 15.07, 4.09, 18.28, 3.32
35.12, 7.75, 13.95, 3.72, 17.09, 3.03
37.71, 8.21, 14.69, 3.96, 17.88, 3.22
43.36, 9.19, 16.26, 4.48, 19.52, 3.63
34.65, 7.67, 13.81, 3.68, 16.95, 3.00
51.59, 10.57, 18.45, 5.21, 21.77, 4.22
63.05, 12.43, 21.34, 6.21, 24.69, 5.01
75.91, 14.44, 24.43, 7.31, 27.74, 5.87
98.99, 17.90, 29.63, 9.22, 32.78, 7.36
128.93, 22.16, 35.90, 11.62, 38.69, 9.23
150.87, 25.16, 40.24, 13.33, 42.71, 10.56
152.96, 25.44, 40.65, 13.49, 43.08, 10.69
166.02, 27.18, 43.14, 14.49, 45.35, 11.46
234.62, 35.94, 55.47, 19.62, 56.36, 15.41
224.30, 34.65, 53.69, 18.86, 54.79, 14.83
258.10, 38.81, 59.46, 21.32, 59.84, 16.72
282.64, 41.77, 63.52, 23.09, 63.35, 18.07
297.01, 43.48, 65.85, 24.11, 65.36, 18.85
313.90, 45.46, 68.55, 25.31, 67.67, 19.77
417.15, 57.20, 84.29, 32.46, 80.90, 25.21
393.30, 54.55, 80.76, 30.83, 77.96, 23.98
606.01, 77.34, 110.58, 45.00, 102.29, 34.71
750.11, 91.88, 129.13, 54.24, 116.95, 41.66
891.91, 105.68, 146.45, 63.11, 130.39, 48.31
1158.44, 130.53, 177.11, 79.33, 153.67, 60.43
1406.04, 152.63, 203.89, 93.99, 173.55, 71.32
1707.28, 178.54, 234.79, 111.39, 196.06, 84.21
1972.82, 200.66, 260.81, 126.41, 214.69, 95.30
2344.91, 230.71, 295.71, 147.04, 239.30, 110.49
2721.33, 260.19, 329.51, 167.50, 262.76, 125.50
3143.88, 292.36, 365.96, 190.05, 287.70, 141.99
3576.11, 324.42, 401.89, 212.72, 311.95, 158.54
4115.76, 363.42, 445.12, 240.56, 340.74, 178.80
4466.11, 388.21, 472.36, 258.38, 358.68, 191.75
4292.42, 375.97, 458.93, 249.57, 349.85, 185.35
4368.84, 381.36, 464.85, 253.45, 353.75, 188.17
6000.52, 492.79, 585.47, 334.58, 431.79, 246.88
6223.00, 507.50, 601.18, 345.41, 441.78, 254.70
6357.38, 516.33, 610.58, 351.93, 447.75, 259.40
6690.88, 538.10, 633.71, 368.03, 462.36, 271.00
7375.57, 582.16, 680.22, 400.78, 491.54, 294.56
9018.23, 684.82, 787.28, 477.88, 557.71, 349.86
9518.28, 715.33, 818.78, 500.99, 576.94, 366.40
12081.35, 867.26, 973.75, 617.23, 670.17, 449.34
14097.62, 982.41, 1089.37, 706.48, 738.39, 512.78
15687.22, 1070.96, 1177.35, 775.71, 789.65, 561.87
17691.33, 1180.17, 1284.88, 861.76, 851.59, 622.76
20621.64, 1335.70, 1436.32, 985.45, 937.65, 710.03
23590.12, 1488.97, 1583.83, 1108.51, 1020.30, 796.63
